category,question,sub-question,answer,gender,group,age
1,1,A blessing,2,male,PCMF,49
1,1,Encouraging,1,male,PCMF,49
1,1,Educative,2,male,PCMF,49
1,2,Relevant,1,male,PCMF,49
1,2,Not Useful,2,male,PCMF,49
1,2,Well Prepared,2,male,PCMF,49
1,2,Boring,2,male,PCMF,49
1,3,Good,2,male,PCMF,49
1,3,Edifying,1,male,PCMF,49
1,4,,2,male,PCMF,49
2,5,,1,male,PCMF,49
2,6,,2,male,PCMF,49
2,7,,2,male,PCMF,49
2,8,,2,male,PCMF,49
2,9,,2,male,PCMF,49
2,10,Widows,2,male,PCMF,49
2,10,Widowers,2,male,PCMF,49
2,10,Retirees,2,male,PCMF,49
2,10,Single Parents,2,male,PCMF,49
2,10,other,2,male,PCMF,49
2,11,,2,male,PCMF,49
2,12,,2,male,PCMF,49
2,13,,2,male,PCMF,49
2,14,Christian education,2,male,PCMF,49
2,14,Health Ministry,1,male,PCMF,49
2,14,Deaf Ministry,3,male,PCMF,49
2,14,Evangelism,2,male,PCMF,49
2,14,Children Ministry,1,male,youth,20
2,14,Choir Ministry,2,male,youth,20
2,14,Ushering Ministry,2,male,youth,20
2,15,,2,male,youth,20
2,16,,3,male,youth,20
2,17,,,male,youth,20
1,1,A blessing,1,female,women's guild,77
1,1,Encouraging,2,female,women's guild,77
1,1,Educative,2,female,women's guild,77
1,2,Relevant,1,female,women's guild,77
1,2,Not Useful,2,female,women's guild,77
1,2,Well Prepared,2,female,women's guild,77
1,2,Boring,2,female,women's guild,77
1,3,Good,2,female,women's guild,77
1,3,Edifying,1,female,women's guild,77
1,4,,1,female,women's guild,77
2,5,,1,female,women's guild,77
2,6,,1,female,women's guild,77
2,7,,1,female,women's guild,77
2,8,,1,female,women's guild,77
2,9,,1,female,women's guild,77
2,10,Widows,1,female,women's guild,77
2,10,Widowers,1,female,women's guild,77
2,10,Retirees,1,female,women's guild,77
2,10,Single Parents,1,female,women's guild,77
2,10,other,1,female,women's guild,77
2,11,,1,female,women's guild,77
2,12,,1,female,women's guild,77
2,13,,1,female,women's guild,77
2,14,Christian education,1,female,women's guild,77
2,14,Health Ministry,1,female,women's guild,77
2,14,Deaf Ministry,1,female,women's guild,77
2,14,Evangelism,1,female,women's guild,77
2,14,Children Ministry,1,female,women's guild,77
2,14,Choir Ministry,1,female,women's guild,77
2,14,Ushering Ministry,1,female,women's guild,77
2,15,,1,female,women's guild,77
2,16,,1,female,women's guild,77
2,17,,,female,women's guild,77
1,1,A blessing,1,female,ushering,38
1,1,Encouraging,2,female,ushering,38
1,1,Educative,2,female,ushering,38
1,2,Relevant,1,female,ushering,38
1,2,Not Useful,2,female,ushering,38
1,2,Well Prepared,2,female,ushering,38
1,2,Boring,2,female,ushering,38
1,3,Good,1,female,ushering,38
1,3,Edifying,2,female,ushering,38
1,4,,1,female,ushering,38
2,5,,1,female,ushering,38
2,6,,2,female,ushering,38
2,7,,1,female,ushering,38
2,8,,1,female,ushering,38
2,9,,1,female,ushering,38
2,10,Widows,1,female,ushering,38
2,10,Widowers,1,female,ushering,38
2,10,Retirees,1,female,ushering,38
2,10,Single Parents,2,female,ushering,38
2,10,other,2,female,ushering,38
2,11,,1,female,ushering,38
2,12,,1,female,ushering,38
2,13,,2,female,ushering,38
2,14,Christian education,1,female,ushering,38
2,14,Health Ministry,1,female,ushering,38
2,14,Deaf Ministry,3,female,ushering,38
2,14,Evangelism,1,female,ushering,38
2,14,Children Ministry,1,female,ushering,38
2,14,Choir Ministry,1,female,ushering,38
2,14,Ushering Ministry,1,female,ushering,38
2,15,,1,female,ushering,38
2,16,,2,female,ushering,38
2,17,,,female,ushering,38
1,1,A blessing,1,,,37
1,1,Encouraging,2,,,37
1,1,Educative,2,,,37
1,2,Relevant,1,,,37
1,2,Not Useful,2,,,37
1,2,Well Prepared,2,,,37
1,2,Boring,2,,,37
1,3,Good,1,,,37
1,3,Edifying,2,,,37
1,4,,2,,,37
2,5,,2,,,37
2,6,,1,,,37
2,7,,2,,,37
2,8,,3,,,37
2,9,,1,,,37
2,10,Widows,3,,,37
2,10,Widowers,3,,,37
2,10,Retirees,3,,,37
2,10,Single Parents,3,,,37
2,10,other,3,,,37
2,11,,1,,,37
2,12,,1,,,37
2,13,,1,,,37
2,14,Christian education,1,,,37
2,14,Health Ministry,1,,,37
2,14,Deaf Ministry,1,,,37
2,14,Evangelism,1,,,37
2,14,Children Ministry,1,,,37
2,14,Choir Ministry,3,,,37
2,14,Ushering Ministry,1,,,37
2,15,,1,,,37
2,16,,3,,,37
2,17,,,,,37
1,1,A blessing,2,female,women's guild,55
1,1,Encouraging,1,female,women's guild,55
1,1,Educative,2,female,women's guild,55
1,2,Relevant,1,female,women's guild,55
1,2,Not Useful,2,female,women's guild,55
1,2,Well Prepared,2,female,women's guild,55
1,2,Boring,2,female,women's guild,55
1,3,Good,1,female,women's guild,55
1,3,Edifying,2,female,women's guild,55
1,4,,2,female,women's guild,55
2,5,,2,female,women's guild,55
2,6,,2,female,women's guild,55
2,7,,2,female,women's guild,55
2,8,,2,female,women's guild,55
2,9,,1,female,women's guild,55
2,10,Widows,2,female,women's guild,55
2,10,Widowers,2,female,women's guild,55
2,10,Retirees,3,female,women's guild,55
2,10,Single Parents,2,female,women's guild,55
2,10,other,2,female,women's guild,55
2,11,,1,female,women's guild,55
2,12,,1,female,women's guild,55
2,13,,2,female,women's guild,55
2,14,Christian education,2,female,women's guild,55
2,14,Health Ministry,1,female,women's guild,55
2,14,Deaf Ministry,1,female,women's guild,55
2,14,Evangelism,2,female,women's guild,55
2,14,Children Ministry,2,female,women's guild,55
2,14,Choir Ministry,1,female,women's guild,55
2,14,Ushering Ministry,2,female,women's guild,55
2,15,,1,female,women's guild,55
2,16,,2,female,women's guild,55
2,17,,,female,women's guild,55
1,1,A blessing,1,female,,25
1,1,Encouraging,2,female,,25
1,1,Educative,2,female,,25
1,2,Relevant,1,female,,25
1,2,Not Useful,2,female,,25
1,2,Well Prepared,2,female,,25
1,2,Boring,2,female,,25
1,3,Good,1,female,,25
1,3,Edifying,2,female,,25
1,4,,1,female,,25
2,5,,1,female,,25
2,6,,1,female,,25
2,7,,1,female,,25
2,8,,1,female,,25
2,9,,1,female,,25
2,10,Widows,,female,,25
2,10,Widowers,,female,,25
2,10,Retirees,,female,,25
2,10,Single Parents,,female,,25
2,10,other,,female,,25
2,11,,1,female,,25
2,12,,1,female,,25
2,13,,1,female,,25
2,14,Christian education,1,female,,25
2,14,Health Ministry,1,female,,25
2,14,Deaf Ministry,,female,,25
2,14,Evangelism,1,female,,25
2,14,Children Ministry,1,female,,25
2,14,Choir Ministry,1,female,,25
2,14,Ushering Ministry,1,female,,25
2,15,,1,female,,25
2,16,,1,female,,25
2,17,,,female,,25
1,1,A blessing,1,female,evangelism,34
1,1,Encouraging,2,female,evangelism,34
1,1,Educative,2,female,evangelism,34
1,2,Relevant,2,female,evangelism,34
1,2,Not Useful,2,female,evangelism,34
1,2,Well Prepared,1,female,evangelism,34
1,2,Boring,2,female,evangelism,34
1,3,Good,2,female,evangelism,34
1,3,Edifying,1,female,evangelism,34
1,4,,1,female,evangelism,34
2,5,,1,female,evangelism,34
2,6,,1,female,evangelism,34
2,7,,1,female,evangelism,34
2,8,,1,female,evangelism,34
2,9,,1,female,evangelism,34
2,10,Widows,3,female,evangelism,34
2,10,Widowers,2,female,evangelism,34
2,10,Retirees,3,female,evangelism,34
2,10,Single Parents,1,female,evangelism,34
2,10,other,2,female,evangelism,34
2,11,,1,female,evangelism,34
2,12,,1,female,evangelism,34
2,13,,1,female,evangelism,34
2,14,Christian education,1,female,evangelism,34
2,14,Health Ministry,3,female,evangelism,34
2,14,Deaf Ministry,1,female,evangelism,34
2,14,Evangelism,1,female,evangelism,34
2,14,Children Ministry,1,female,evangelism,34
2,14,Choir Ministry,1,female,evangelism,34
2,14,Ushering Ministry,1,female,evangelism,34
2,15,,1,female,evangelism,34
2,16,,2,female,evangelism,34
2,17,,,female,evangelism,34
1,1,A blessing,2,female,,26
1,1,Encouraging,1,female,,26
1,1,Educative,2,female,,26
1,2,Relevant,2,female,,26
1,2,Not Useful,2,female,,26
1,2,Well Prepared,1,female,,26
1,2,Boring,2,female,,26
1,3,Good,2,female,,26
1,3,Edifying,1,female,,26
1,4,,2,female,,26
2,5,,1,female,,26
2,6,,1,female,,26
2,7,,1,female,,26
2,8,,1,female,,26
2,9,,1,female,,26
2,10,Widows,1,female,,26
2,10,Widowers,1,female,,26
2,10,Retirees,1,female,,26
2,10,Single Parents,1,female,,26
2,10,other,2,female,,26
2,11,,3,female,,26
2,12,,3,female,,26
2,13,,1,female,,26
2,14,Christian education,1,female,,26
2,14,Health Ministry,1,female,,26
2,14,Deaf Ministry,2,female,,26
2,14,Evangelism,1,female,,26
2,14,Children Ministry,1,female,,26
2,14,Choir Ministry,1,female,,26
2,14,Ushering Ministry,2,female,,26
2,15,,2,female,,26
2,16,,2,female,,26
2,17,,,female,,26
1,1,A blessing,2,female,women's guild,36
1,1,Encouraging,1,female,women's guild,36
1,1,Educative,2,female,women's guild,36
1,2,Relevant,1,female,women's guild,36
1,2,Not Useful,2,female,women's guild,36
1,2,Well Prepared,2,female,women's guild,36
1,2,Boring,2,female,women's guild,36
1,3,Good,3,female,women's guild,36
1,3,Edifying,3,female,women's guild,36
1,4,,1,female,women's guild,36
2,5,,1,female,women's guild,36
2,6,,1,female,women's guild,36
2,7,,1,female,women's guild,36
2,8,,1,female,women's guild,36
2,9,,1,female,women's guild,36
2,10,Widows,1,female,women's guild,36
2,10,Widowers,1,female,women's guild,36
2,10,Retirees,1,female,women's guild,36
2,10,Single Parents,1,female,women's guild,36
2,10,other,1,female,women's guild,36
2,11,,1,female,women's guild,36
2,12,,1,female,women's guild,36
2,13,,1,female,women's guild,36
2,14,Christian education,1,female,women's guild,36
2,14,Health Ministry,1,female,women's guild,36
2,14,Deaf Ministry,,female,women's guild,36
2,14,Evangelism,1,female,women's guild,36
2,14,Children Ministry,1,female,women's guild,36
2,14,Choir Ministry,1,female,women's guild,36
2,14,Ushering Ministry,1,female,women's guild,36
2,15,,1,female,women's guild,36
2,16,,1,female,women's guild,36
2,17,,,female,women's guild,36
1,1,A blessing,1,female,women's guild,61
1,1,Encouraging,2,female,women's guild,61
1,1,Educative,2,female,women's guild,61
1,2,Relevant,2,female,women's guild,61
1,2,Not Useful,2,female,women's guild,61
1,2,Well Prepared,1,female,women's guild,61
1,2,Boring,2,female,women's guild,61
1,3,Good,2,female,women's guild,61
1,3,Edifying,1,female,women's guild,61
1,4,,1,female,women's guild,61
2,5,,1,female,women's guild,61
2,6,,1,female,women's guild,61
2,7,,1,female,women's guild,61
2,8,,1,female,women's guild,61
2,9,,1,female,women's guild,61
2,10,Widows,1,female,women's guild,61
2,10,Widowers,1,female,women's guild,61
2,10,Retirees,1,female,women's guild,61
2,10,Single Parents,1,female,women's guild,61
2,10,other,1,female,women's guild,61
2,11,,1,female,women's guild,61
2,12,,1,female,women's guild,61
2,13,,1,female,women's guild,61
2,14,Christian education,1,female,women's guild,61
2,14,Health Ministry,1,female,women's guild,61
2,14,Deaf Ministry,,female,women's guild,61
2,14,Evangelism,1,female,women's guild,61
2,14,Children Ministry,1,female,women's guild,61
2,14,Choir Ministry,1,female,women's guild,61
2,14,Ushering Ministry,1,female,women's guild,61
2,15,,1,female,women's guild,61
2,16,,1,female,women's guild,61
2,17,,,female,women's guild,61
1,1,A blessing,2,female,praise and worship,40
1,1,Encouraging,1,female,praise and worship,40
1,1,Educative,2,female,praise and worship,40
1,2,Relevant,1,female,praise and worship,40
1,2,Not Useful,2,female,praise and worship,40
1,2,Well Prepared,2,female,praise and worship,40
1,2,Boring,2,female,praise and worship,40
1,3,Good,1,female,praise and worship,40
1,3,Edifying,1,female,praise and worship,40
1,4,,2,female,praise and worship,40
2,5,,1,female,praise and worship,40
2,6,,2,female,praise and worship,40
2,7,,2,female,praise and worship,40
2,8,,1,female,praise and worship,40
2,9,,1,female,praise and worship,40
2,10,Widows,2,female,praise and worship,40
2,10,Widowers,2,female,praise and worship,40
2,10,Retirees,2,female,praise and worship,40
2,10,Single Parents,2,female,praise and worship,40
2,10,other,2,female,praise and worship,40
2,11,,1,female,praise and worship,40
2,12,,1,female,praise and worship,40
2,13,,2,female,praise and worship,40
2,14,Christian education,2,female,praise and worship,40
2,14,Health Ministry,1,female,praise and worship,40
2,14,Deaf Ministry,,female,praise and worship,40
2,14,Evangelism,2,female,praise and worship,40
2,14,Children Ministry,1,female,praise and worship,40
2,14,Choir Ministry,1,female,praise and worship,40
2,14,Ushering Ministry,1,female,praise and worship,40
2,15,,1,female,praise and worship,40
2,16,,1,female,praise and worship,40
2,17,,,female,praise and worship,40
1,1,A blessing,1,male,PCMF,25
1,1,Encouraging,1,male,PCMF,25
1,1,Educative,1,male,PCMF,25
1,2,Relevant,1,male,PCMF,25
1,2,Not Useful,2,male,PCMF,25
1,2,Well Prepared,2,male,PCMF,25
1,2,Boring,2,male,PCMF,25
1,3,Good,1,male,PCMF,25
1,3,Edifying,2,male,PCMF,25
1,4,,2,male,PCMF,25
