category,question,sub-question,answer,gender,group,age
1,1,A blessing,1,male,youth,20
1,1,Encouraging,2,male,youth,20
1,1,Educative,3,male,youth,20
1,2,Relevant,2,male,youth,20
1,2,Not Useful,3,male,youth,20
1,2,Well Prepared,1,male,youth,20
1,2,Boring,2,male,youth,20
1,3,Good,1,male,youth,20
1,3,Edifying,2,male,youth,20
1,4,,3,male,youth,20
2,5,,1,male,youth,20
2,6,,2,male,youth,20
2,7,,1,male,youth,20
2,8,,2,male,youth,20
2,9,,1,male,youth,20
2,10,Widows,3,male,youth,20
2,10,Widowers,3,male,youth,20
2,10,Retirees,1,male,youth,20
2,10,Single Parents,2,male,youth,20
2,10,other,3,male,youth,20
2,11,,2,male,youth,20
2,12,,2,male,youth,20
2,13,,3,male,youth,20
2,14,Christian education,2,male,youth,20
2,14,Health Ministry,1,male,youth,20
2,14,Deaf Ministry,1,male,youth,20
2,14,Evangelism,2,male,youth,20
2,14,Children Ministry,2,male,youth,20
2,14,Choir Ministry,2,male,youth,20
2,14,Ushering Ministry,2,male,youth,20
2,15,,2,male,youth,20
2,16,,2,male,youth,20
2,17,,,male,youth,20
1,1,A blessing,1,male,PCMF,60
1,1,Encouraging,2,male,PCMF,60
1,1,Educative,2,male,PCMF,60
1,2,Relevant,1,male,PCMF,60
1,2,Not Useful,2,male,PCMF,60
1,2,Well Prepared,2,male,PCMF,60
1,2,Boring,2,male,PCMF,60
1,3,Good,1,male,PCMF,60
1,3,Edifying,2,male,PCMF,60
1,4,,2,male,PCMF,60
2,5,,3,male,PCMF,60
2,6,,3,male,PCMF,60
2,7,,1,male,PCMF,60
2,8,,2,male,PCMF,60
2,9,,2,male,PCMF,60
2,10,Widows,,male,PCMF,60
2,10,Widowers,,male,PCMF,60
2,10,Retirees,,male,PCMF,60
2,10,Single Parents,,male,PCMF,60
2,10,other,,male,PCMF,60
2,11,,1,male,PCMF,60
2,12,,1,male,PCMF,60
2,13,,,male,PCMF,60
2,14,Christian education,,male,PCMF,60
2,14,Health Ministry,,male,PCMF,60
2,14,Deaf Ministry,,male,PCMF,60
2,14,Evangelism,,male,PCMF,60
2,14,Children Ministry,,male,PCMF,60
2,14,Choir Ministry,,male,PCMF,60
2,14,Ushering Ministry,,male,PCMF,60
2,15,,,male,PCMF,60
2,16,,,male,PCMF,60
2,17,,,male,PCMF,60
1,1,A blessing,1,female,women's guild,50
1,1,Encouraging,1,female,women's guild,50
1,1,Educative,1,female,women's guild,50
1,2,Relevant,1,female,women's guild,50
1,2,Not Useful,2,female,women's guild,50
1,2,Well Prepared,1,female,women's guild,50
1,2,Boring,2,female,women's guild,50
1,3,Good,,female,women's guild,50
1,3,Edifying,,female,women's guild,50
1,4,,2,female,women's guild,50
2,5,,2,female,women's guild,50
2,6,,2,female,women's guild,50
2,7,,2,female,women's guild,50
2,8,,2,female,women's guild,50
2,9,,1,female,women's guild,50
2,10,Widows,1,female,women's guild,50
2,10,Widowers,2,female,women's guild,50
2,10,Retirees,2,female,women's guild,50
2,10,Single Parents,2,female,women's guild,50
2,10,other,2,female,women's guild,50
2,11,,1,female,women's guild,50
2,12,,1,female,women's guild,50
2,13,,2,female,women's guild,50
2,14,Christian education,2,female,women's guild,50
2,14,Health Ministry,2,female,women's guild,50
2,14,Deaf Ministry,1,female,women's guild,50
2,14,Evangelism,2,female,women's guild,50
2,14,Children Ministry,2,female,women's guild,50
2,14,Choir Ministry,2,female,women's guild,50
2,14,Ushering Ministry,1,female,women's guild,50
2,15,,2,female,women's guild,50
2,16,,2,female,women's guild,50
2,17,,,female,women's guild,50
1,1,A blessing,2,female,women's guild,73
1,1,Encouraging,1,female,women's guild,73
1,1,Educative,2,female,women's guild,73
1,2,Relevant,1,female,women's guild,73
1,2,Not Useful,2,female,women's guild,73
1,2,Well Prepared,2,female,women's guild,73
1,2,Boring,2,female,women's guild,73
1,3,Good,1,female,women's guild,73
1,3,Edifying,2,female,women's guild,73
1,4,,2,female,women's guild,73
2,5,,2,female,women's guild,73
2,6,,3,female,women's guild,73
2,7,,3,female,women's guild,73
2,8,,3,female,women's guild,73
2,9,,1,female,women's guild,73
2,10,Widows,1,female,women's guild,73
2,10,Widowers,3,female,women's guild,73
2,10,Retirees,3,female,women's guild,73
2,10,Single Parents,2,female,women's guild,73
2,10,other,2,female,women's guild,73
2,11,,1,female,women's guild,73
2,12,,1,female,women's guild,73
2,13,,2,female,women's guild,73
2,14,Christian education,1,female,women's guild,73
2,14,Health Ministry,1,female,women's guild,73
2,14,Deaf Ministry,1,female,women's guild,73
2,14,Evangelism,2,female,women's guild,73
2,14,Children Ministry,1,female,women's guild,73
2,14,Choir Ministry,1,female,women's guild,73
2,14,Ushering Ministry,1,female,women's guild,73
2,15,,2,female,women's guild,73
2,16,,2,female,women's guild,73
2,17,,,female,women's guild,73
1,1,A blessing,1,female,praise and worship,32
1,1,Encouraging,2,female,praise and worship,32
1,1,Educative,2,female,praise and worship,32
1,2,Relevant,2,female,praise and worship,32
1,2,Not Useful,2,female,praise and worship,32
1,2,Well Prepared,1,female,praise and worship,32
1,2,Boring,2,female,praise and worship,32
1,3,Good,1,female,praise and worship,32
1,3,Edifying,2,female,praise and worship,32
1,4,,1,female,praise and worship,32
2,5,,2,female,praise and worship,32
2,6,,2,female,praise and worship,32
2,7,,2,female,praise and worship,32
2,8,,1,female,praise and worship,32
2,9,,2,female,praise and worship,32
2,10,Widows,2,female,praise and worship,32
2,10,Widowers,1,female,praise and worship,32
2,10,Retirees,1,female,praise and worship,32
2,10,Single Parents,1,female,praise and worship,32
2,10,other,2,female,praise and worship,32
2,11,,1,female,praise and worship,32
2,12,,1,female,praise and worship,32
2,13,,1,female,praise and worship,32
2,14,Christian education,1,female,praise and worship,32
2,14,Health Ministry,1,female,praise and worship,32
2,14,Deaf Ministry,1,female,praise and worship,32
2,14,Evangelism,1,female,praise and worship,32
2,14,Children Ministry,1,female,praise and worship,32
2,14,Choir Ministry,1,female,praise and worship,32
2,14,Ushering Ministry,1,female,praise and worship,32
2,15,,1,female,praise and worship,32
2,16,,2,female,praise and worship,32
2,17,,,female,praise and worship,32
1,1,A blessing,1,female,,
1,1,Encouraging,2,female,,
1,1,Educative,2,female,,
1,2,Relevant,1,female,,
1,2,Not Useful,2,female,,
1,2,Well Prepared,2,female,,
1,2,Boring,2,female,,
1,3,Good,,female,,
1,3,Edifying,,female,,
1,4,,3,female,,
2,5,,1,female,,
2,6,,,female,,
2,7,,2,female,,
2,8,,1,female,,
2,9,,1,female,,
2,10,Widows,2,female,,
2,10,Widowers,3,female,,
2,10,Retirees,2,female,,
2,10,Single Parents,2,female,,
2,10,other,2,female,,
2,11,,2,female,,
2,12,,1,female,,
2,13,,1,female,,
2,14,Christian education,1,female,,
2,14,Health Ministry,1,female,,
2,14,Deaf Ministry,,female,,
2,14,Evangelism,1,female,,
2,14,Children Ministry,1,female,,
2,14,Choir Ministry,1,female,,
2,14,Ushering Ministry,1,female,,
2,15,,1,female,,
2,16,,2,female,,
2,17,,,female,,
1,1,A blessing,1,female,women's guild,40
1,1,Encouraging,1,female,women's guild,40
1,1,Educative,1,female,women's guild,40
1,2,Relevant,1,female,women's guild,40
1,2,Not Useful,2,female,women's guild,40
1,2,Well Prepared,1,female,women's guild,40
1,2,Boring,2,female,women's guild,40
1,3,Good,1,female,women's guild,40
1,3,Edifying,1,female,women's guild,40
1,4,,1,female,women's guild,40
2,5,,1,female,women's guild,40
2,6,,2,female,women's guild,40
2,7,,2,female,women's guild,40
2,8,,2,female,women's guild,40
2,9,,2,female,women's guild,40
2,10,Widows,2,female,women's guild,40
2,10,Widowers,2,female,women's guild,40
2,10,Retirees,2,female,women's guild,40
2,10,Single Parents,2,female,women's guild,40
2,10,other,2,female,women's guild,40
2,11,,1,female,women's guild,40
2,12,,1,female,women's guild,40
2,13,,1,female,women's guild,40
2,14,Christian education,2,female,women's guild,40
2,14,Health Ministry,1,female,women's guild,40
2,14,Deaf Ministry,1,female,women's guild,40
2,14,Evangelism,2,female,women's guild,40
2,14,Children Ministry,1,female,women's guild,40
2,14,Choir Ministry,1,female,women's guild,40
2,14,Ushering Ministry,2,female,women's guild,40
2,15,,1,female,women's guild,40
2,16,,2,female,women's guild,40
2,17,,,female,women's guild,40
1,1,A blessing,1,male,,50
1,1,Encouraging,2,male,,50
1,1,Educative,2,male,,50
1,2,Relevant,2,male,,50
1,2,Not Useful,2,male,,50
1,2,Well Prepared,1,male,,50
1,2,Boring,2,male,,50
1,3,Good,2,male,,50
1,3,Edifying,2,male,,50
1,4,,1,male,,50
2,5,,1,male,,50
2,6,,2,male,,50
2,7,,2,male,,50
2,8,,2,male,,50
2,9,,1,male,,50
2,10,Widows,3,male,,50
2,10,Widowers,3,male,,50
2,10,Retirees,3,male,,50
2,10,Single Parents,3,male,,50
2,10,other,3,male,,50
2,11,,1,male,,50
2,12,,1,male,,50
2,13,,2,male,,50
2,14,Christian education,1,male,,50
2,14,Health Ministry,1,male,,50
2,14,Deaf Ministry,3,male,,50
2,14,Evangelism,1,male,,50
2,14,Children Ministry,1,male,,50
2,14,Choir Ministry,1,male,,50
2,14,Ushering Ministry,1,male,,50
2,15,,1,male,,50
2,16,,1,male,,50
2,17,,,male,,50
1,1,A blessing,1,female,choir,
1,1,Encouraging,2,female,choir,
1,1,Educative,2,female,choir,
1,2,Relevant,2,female,choir,
1,2,Not Useful,2,female,choir,
1,2,Well Prepared,1,female,choir,
1,2,Boring,2,female,choir,
1,3,Good,1,female,choir,
1,3,Edifying,2,female,choir,
1,4,,1,female,choir,
2,5,,1,female,choir,
2,6,,1,female,choir,
2,7,,2,female,choir,
2,8,,1,female,choir,
2,9,,1,female,choir,
2,10,Widows,2,female,choir,
2,10,Widowers,2,female,choir,
2,10,Retirees,1,female,choir,
2,10,Single Parents,2,female,choir,
2,10,other,2,female,choir,
2,11,,1,female,choir,
2,12,,1,female,choir,
2,13,,1,female,choir,
2,14,Christian education,1,female,choir,
2,14,Health Ministry,1,female,choir,
2,14,Deaf Ministry,1,female,choir,
2,14,Evangelism,1,female,choir,
2,14,Children Ministry,1,female,choir,
2,14,Choir Ministry,1,female,choir,
2,14,Ushering Ministry,1,female,choir,
2,15,,1,female,choir,
2,16,,1,female,choir,
2,17,,,female,,
1,1,A blessing,1,female,praise and worship,48
1,1,Encouraging,1,female,praise and worship,48
1,1,Educative,1,female,praise and worship,48
1,2,Relevant,1,female,praise and worship,48
1,2,Not Useful,2,female,praise and worship,48
1,2,Well Prepared,1,female,praise and worship,48
1,2,Boring,2,female,praise and worship,48
1,3,Good,1,female,praise and worship,48
1,3,Edifying,1,female,praise and worship,48
1,4,,2,female,praise and worship,48
2,5,,2,female,praise and worship,48
2,6,,2,female,praise and worship,48
2,7,,2,female,praise and worship,48
2,8,,2,female,praise and worship,48
2,9,,2,female,praise and worship,48
2,10,Widows,3,female,praise and worship,48
2,10,Widowers,3,female,praise and worship,48
2,10,Retirees,3,female,praise and worship,48
2,10,Single Parents,3,female,praise and worship,48
2,10,other,3,female,praise and worship,48
2,11,,2,female,praise and worship,48
2,12,,1,female,praise and worship,48
2,13,,1,female,praise and worship,48
2,14,Christian education,1,female,praise and worship,48
2,14,Health Ministry,1,female,praise and worship,48
2,14,Deaf Ministry,2,female,praise and worship,48
2,14,Evangelism,1,female,praise and worship,48
2,14,Children Ministry,1,female,praise and worship,48
2,14,Choir Ministry,1,female,praise and worship,48
2,14,Ushering Ministry,1,female,praise and worship,48
2,15,,1,female,praise and worship,48
2,16,,1,female,praise and worship,48
2,17,,,female,praise and worship,48
1,1,A blessing,1,,,
1,1,Encouraging,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,Well Prepared,1,,,
1,2,Boring,2,,,
1,3,Good,1,,,
1,3,Edifying,2,,,
1,4,,1,,,
2,5,,1,,,
2,6,,1,,,
2,7,,2,,,
2,8,,1,,,
2,9,,1,,,
2,10,Widows,3,,,
2,10,Widowers,3,,,
2,10,Retirees,2,,,
2,10,Single Parents,3,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,Christian education,1,,,
2,14,Health Ministry,1,,,
2,14,Deaf Ministry,,,,
2,14,Evangelism,1,,,
2,14,Children Ministry,1,,,
2,14,Choir Ministry,1,,,
2,14,Ushering Ministry,1,,,
2,15,,1,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing,1,female,women's guild,43
1,1,Encouraging,1,female,women's guild,43
1,1,Educative,1,female,women's guild,43
1,2,Relevant,1,female,women's guild,43
1,2,Not Useful,3,female,women's guild,43
1,2,Well Prepared,1,female,women's guild,43
1,2,Boring,3,female,women's guild,43
1,3,Good,2,female,women's guild,43
1,3,Edifying,2,female,women's guild,43
1,4,,1,female,women's guild,43
2,5,,3,female,women's guild,43
2,6,,1,female,women's guild,43
2,7,,2,female,women's guild,43
2,8,,2,female,women's guild,43
2,9,,1,female,women's guild,43
2,10,Widows,3,female,women's guild,43
2,10,Widowers,3,female,women's guild,43
2,10,Retirees,3,female,women's guild,43
2,10,Single Parents,2,female,women's guild,43
2,10,other,2,female,women's guild,43
2,11,,1,female,women's guild,43
2,12,,1,female,women's guild,43
2,13,,1,female,women's guild,43
2,14,Christian education,1,female,women's guild,43
2,14,Health Ministry,1,female,women's guild,43
2,14,Deaf Ministry,1,female,women's guild,43
2,14,Evangelism,1,female,women's guild,43
2,14,Children Ministry,1,female,women's guild,43
2,14,Choir Ministry,1,female,women's guild,43
2,14,Ushering Ministry,1,female,women's guild,43
2,15,,1,female,women's guild,43
2,16,,1,female,women's guild,43
2,17,,,female,women's guild,43
