category,question,sub-question,answer,female,group,age
1,1,A blessing,1,female,,26
1,1,Encouraging,1,female,,26
1,1,Educative,1,female,,26
1,2,Relevant,1,female,,26
1,2,Not Useful,2,female,,26
1,2,Well Prepared,1,female,,26
1,2,Boring,2,female,,26
1,3,Good,1,female,,26
1,3,Edifying,1,female,,26
1,4,,1,female,,26
2,5,,1,female,,26
2,6,,1,female,,26
2,7,,1,female,,26
2,8,,1,female,,26
2,9,,1,female,,26
2,10,Widows,1,female,,26
2,10,Widowers,1,female,,26
2,10,Retirees,2,female,,26
2,10,Single Parents,1,female,,26
2,10,other,2,female,,26
2,11,,1,female,,26
2,12,,1,female,,26
2,13,,1,female,,26
2,14,Christian education,1,female,,26
2,14,Health Ministry,1,female,,26
2,14,Deaf Ministry,1,female,,26
2,14,Evangelism,1,female,,26
2,14,Children Ministry,1,female,,26
2,14,Choir Ministry,1,female,,26
2,14,Ushering Ministry,1,female,,26
2,15,,1,female,,26
2,16,,2,female,,26
2,17,,,female,,26
1,1,A blessing,1,,,
1,1,Encouraging,2,male,PCMF,58
1,1,Educative,2,male,PCMF,58
1,2,Relevant,1,male,PCMF,58
1,2,Not Useful,2,male,PCMF,58
1,2,Well Prepared,2,male,PCMF,58
1,2,Boring,2,male,PCMF,58
1,3,Good,2,male,PCMF,58
1,3,Edifying,1,male,PCMF,58
1,4,,1,male,PCMF,58
2,5,,1,male,PCMF,58
2,6,,1,male,PCMF,58
2,7,,1,male,PCMF,58
2,8,,1,male,PCMF,58
2,9,,1,male,PCMF,58
2,10,Widows,1,male,PCMF,58
2,10,Widowers,1,male,PCMF,58
2,10,Retirees,1,male,PCMF,58
2,10,Single Parents,1,male,PCMF,58
2,10,other,1,male,PCMF,58
2,11,,1,male,PCMF,58
2,12,,1,male,PCMF,58
2,13,,1,male,PCMF,58
2,14,Christian education,1,male,PCMF,58
2,14,Health Ministry,1,male,PCMF,58
2,14,Deaf Ministry,1,male,PCMF,58
2,14,Evangelism,1,male,PCMF,58
2,14,Children Ministry,1,male,PCMF,58
2,14,Choir Ministry,1,male,PCMF,58
2,14,Ushering Ministry,1,male,PCMF,58
2,15,,1,male,PCMF,58
2,16,,1,male,PCMF,58
2,17,,,male,PCMF,58
1,1,A blessing,1,,,
1,1,Encouraging,1,male,PCMF,31
1,1,Educative,1,male,PCMF,31
1,2,Relevant,2,male,PCMF,31
1,2,Not Useful,2,male,PCMF,31
1,2,Well Prepared,2,male,PCMF,31
1,2,Boring,2,male,PCMF,31
1,3,Good,1,male,PCMF,31
1,3,Edifying,3,male,PCMF,31
1,4,,2,male,PCMF,31
2,5,,1,male,PCMF,31
2,6,,3,male,PCMF,31
2,7,,2,male,PCMF,31
2,8,,1,male,PCMF,31
2,9,,1,male,PCMF,31
2,10,Widows,3,male,PCMF,31
2,10,Widowers,1,male,PCMF,31
2,10,Retirees,1,male,PCMF,31
2,10,Single Parents,2,male,PCMF,31
2,10,other,2,male,PCMF,31
2,11,,2,male,PCMF,31
2,12,,2,male,PCMF,31
2,13,,3,male,PCMF,31
2,14,Christian education,2,male,PCMF,31
2,14,Health Ministry,1,male,PCMF,31
2,14,Deaf Ministry,1,male,PCMF,31
2,14,Evangelism,3,male,PCMF,31
2,14,Children Ministry,1,male,PCMF,31
2,14,Choir Ministry,2,male,PCMF,31
2,14,Ushering Ministry,2,male,PCMF,31
2,15,,2,male,PCMF,31
2,16,,1,male,PCMF,31
2,17,,,male,PCMF,31
1,1,blessing,1,female,,27
1,1,Encouraging,1,female,,27
1,1,Educative,1,female,,27
1,2,Relevant,1,female,,27
1,2,Not Useful,2,female,,27
1,2,Well Prepared,1,female,,27
1,2,Boring,2,female,,27
1,3,Good,1,female,,27
1,3,Edifying,2,female,,27
1,4,,2,female,,27
2,5,,2,female,,27
2,6,,3,female,,27
2,7,,3,female,,27
2,8,,2,female,,27
2,9,,2,female,,27
2,10,Widows,2,female,,27
2,10,Widowers,3,female,,27
2,10,Retirees,2,female,,27
2,10,Single Parents,2,female,,27
2,10,other,2,female,,27
2,11,,1,female,,27
2,12,,1,female,,27
2,13,,2,female,,27
2,14,Christian education,2,female,,27
2,14,Health Ministry,2,female,,27
2,14,Deaf Ministry,1,female,,27
2,14,Evangelism,1,female,,27
2,14,Children Ministry,1,female,,27
2,14,Choir Ministry,2,female,,27
2,14,Ushering Ministry,2,female,,27
2,15,,2,female,,27
2,16,,2,female,,27
2,17,,,female,,27
1,1,blessing,1,female,,36
1,1,Encouraging,2,female,,36
1,1,Educative,2,female,,36
1,2,Relevant,1,female,,36
1,2,Not Useful,2,female,,36
1,2,Well Prepared,2,female,,36
1,2,Boring,2,female,,36
1,3,Good,1,female,,36
1,3,Edifying,2,female,,36
1,4,,1,female,,36
2,5,,1,female,,36
2,6,,2,female,,36
2,7,,3,female,,36
2,8,,2,female,,36
2,9,,1,female,,36
2,10,Widows,2,female,,36
2,10,Widowers,2,female,,36
2,10,Retirees,2,female,,36
2,10,Single Parents,2,female,,36
2,10,other,2,female,,36
2,11,,2,female,,36
2,12,,1,female,,36
2,13,,1,female,,36
2,14,Christian education,1,female,,36
2,14,Health Ministry,1,female,,36
2,14,Deaf Ministry,1,female,,36
2,14,Evangelism,2,female,,36
2,14,Children Ministry,1,female,,36
2,14,Choir Ministry,1,female,,36
2,14,Ushering Ministry,1,female,,36
2,15,,1,female,,36
2,16,,1,female,,36
2,17,,,female,,36
