category,question,sub-question,answer,female,group,age
1,1,A blessing,2,female,women's guild,40
1,1,Encouraging,1,female,women's guild,40
1,1,Educative,2,female,women's guild,40
1,2,Relevant,1,female,women's guild,40
1,2,Not Useful,2,female,women's guild,40
1,2,Well Prepared,2,female,women's guild,40
1,2,Boring,2,female,women's guild,40
1,3,Good,3,female,women's guild,40
1,3,Edifying,2,female,women's guild,40
1,4,,3,female,women's guild,40
2,5,,2,female,women's guild,40
2,6,,2,female,women's guild,40
2,7,,2,female,women's guild,40
2,8,,2,female,women's guild,40
2,9,,2,female,women's guild,40
2,10,Widows,1,female,women's guild,40
2,10,Widowers,1,female,women's guild,40
2,10,Retirees,1,female,women's guild,40
2,10,Single Parents,2,female,women's guild,40
2,10,other,2,female,women's guild,40
2,11,,2,female,women's guild,40
2,12,,2,female,women's guild,40
2,13,,1,female,women's guild,40
2,14,Christian education,2,female,women's guild,40
2,14,Health Ministry,1,female,women's guild,40
2,14,Deaf Ministry,1,female,women's guild,40
2,14,Evangelism,1,female,women's guild,40
2,14,Children Ministry,1,female,women's guild,40
2,14,Choir Ministry,2,female,women's guild,40
2,14,Ushering Ministry,2,female,women's guild,40
2,15,,1,female,women's guild,40
2,16,,1,female,women's guild,40
2,17,,,female,women's guild,40
1,1,A blessing,1,female,,39
1,1,Encouraging,1,female,,39
1,1,Educative,1,female,,39
1,2,Relevant,1,female,,39
1,2,Not Useful,1,female,,39
1,2,Well Prepared,1,female,,39
1,2,Boring,1,female,,39
1,3,Good,1,female,,39
1,3,Edifying,1,female,,39
1,4,,1,female,,39
2,5,,1,female,,39
2,6,,1,female,,39
2,7,,1,female,,39
2,8,,1,female,,39
2,9,,1,female,,39
2,10,Widows,1,female,,39
2,10,Widowers,1,female,,39
2,10,Retirees,1,female,,39
2,10,Single Parents,1,female,,39
2,10,other,1,female,,39
2,11,,1,female,,39
2,12,,1,female,,39
2,13,,1,female,,39
2,14,Christian education,1,female,,39
2,14,Health Ministry,1,female,,39
2,14,Deaf Ministry,1,female,,39
2,14,Evangelism,1,female,,39
2,14,Children Ministry,1,female,,39
2,14,Choir Ministry,1,female,,39
2,14,Ushering Ministry,1,female,,39
2,15,,1,female,,39
2,16,,1,female,,39
2,17,,,female,,39
1,1,A blessing,1,female,women's guild,45
1,1,Encouraging,2,female,women's guild,45
1,1,Educative,2,female,women's guild,45
1,2,Relevant,2,female,women's guild,45
1,2,Not Useful,2,female,women's guild,45
1,2,Well Prepared,1,female,women's guild,45
1,2,Boring,2,female,women's guild,45
1,3,Good,1,female,women's guild,45
1,3,Edifying,2,female,women's guild,45
1,4,,2,female,women's guild,45
2,5,,1,female,women's guild,45
2,6,,1,female,women's guild,45
2,7,,1,female,women's guild,45
2,8,,1,female,women's guild,45
2,9,,1,female,women's guild,45
2,10,Widows,1,female,women's guild,45
2,10,Widowers,1,female,women's guild,45
2,10,Retirees,2,female,women's guild,45
2,10,Single Parents,1,female,women's guild,45
2,10,other,2,female,women's guild,45
2,11,,1,female,women's guild,45
2,12,,1,female,women's guild,45
2,13,,1,female,women's guild,45
2,14,Christian education,1,female,women's guild,45
2,14,Health Ministry,1,female,women's guild,45
2,14,Deaf Ministry,1,female,women's guild,45
2,14,Evangelism,1,female,women's guild,45
2,14,Children Ministry,1,female,women's guild,45
2,14,Choir Ministry,1,female,women's guild,45
2,14,Ushering Ministry,1,female,women's guild,45
2,15,,1,female,women's guild,45
2,16,,2,female,women's guild,45
2,17,,,female,women's guild,45
1,1,A blessing,1,,,
1,1,Encouraging,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,Well Prepared,1,,,
1,2,Boring,2,,,
1,3,Good,1,,,
1,3,Edifying,2,,,
1,4,,2,,,
2,5,,1,,,
2,6,,1,,,
2,7,,1,,,
2,8,,1,,,
2,9,,2,,,
2,10,Widows,2,,,
2,10,Widowers,2,,,
2,10,Retirees,2,,,
2,10,Single Parents,2,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,Christian education,2,,,
2,14,Health Ministry,2,,,
2,14,Deaf Ministry,2,,,
2,14,Evangelism,2,,,
2,14,Children Ministry,2,,,
2,14,Choir Ministry,2,,,
2,14,Ushering Ministry,2,,,
2,15,,1,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing,2,female,,
1,1,Encouraging,2,female,,
1,1,Educative,2,female,,
1,2,Relevant,2,female,,
1,2,Not Useful,2,female,,
1,2,Well Prepared,2,female,,
1,2,Boring,2,female,,
1,3,Good,2,female,,
1,3,Edifying,2,female,,
1,4,,3,female,,
2,5,,1,female,,
2,6,,1,female,,
2,7,,1,female,,
2,8,,1,female,,
2,9,,1,female,,
2,10,Widows,1,female,,
2,10,Widowers,1,female,,
2,10,Retirees,1,female,,
2,10,Single Parents,1,female,,
2,10,other,1,female,,
2,11,,1,female,,
2,12,,2,female,,
2,13,,2,female,,
2,14,Christian education,2,female,,
2,14,Health Ministry,2,female,,
2,14,Deaf Ministry,2,female,,
2,14,Evangelism,2,female,,
2,14,Children Ministry,1,female,,
2,14,Choir Ministry,2,female,,
2,14,Ushering Ministry,2,female,,
2,15,,1,female,,
2,16,,3,female,,
2,17,,,female,,
1,1,A blessing,1,,,
1,1,Encouraging,1,,,
1,1,Educative,1,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,Well Prepared,1,,,
1,2,Boring,2,,,
1,3,Good,1,,,
1,3,Edifying,2,,,
1,4,,1,,,
2,5,,1,,,
2,6,,1,,,
2,7,,2,,,
2,8,,2,,,
2,9,,1,,,
2,10,Widows,3,,,
2,10,Widowers,3,,,
2,10,Retirees,2,,,
2,10,Single Parents,2,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,Christian education,1,,,
2,14,Health Ministry,1,,,
2,14,Deaf Ministry,1,,,
2,14,Evangelism,1,,,
2,14,Children Ministry,1,,,
2,14,Choir Ministry,1,,,
2,14,Ushering Ministry,1,,,
2,15,,1,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing,2,female,29,
1,1,Encouraging,1,female,29,
1,1,Educative,2,female,29,
1,2,Relevant,2,female,29,
1,2,Not Useful,2,female,29,
1,2,Well Prepared,1,female,29,
1,2,Boring,2,female,29,
1,3,Good,2,female,29,
1,3,Edifying,2,female,29,
1,4,,11,female,29,
2,5,,1,female,29,
2,6,,3,female,29,
2,7,,1,female,29,
2,8,,1,female,29,
