category,header,question,answer,age,gender,group
1,1,A blessing ,1,,39,f
1,1,Encourage,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,well prepared,1,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,2,,,
2,5,,1,,,
2,6,,2,,,
2,7,,2,,,
2,8,,2,,,
2,9,,1,,,
2,10,widows,2,,,
2,10,widowers,2,,,
2,10,retirees,2,,,
2,10,single parents,1,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,2,,,
2,14,christian education,1,,,
2,14,health ministry,1,,,
2,14,deaf ministry,1,,,
2,14,evangilism,2,,,
2,14,children ministry,1,,,
2,14,choir ministry,2,,,
2,14,ushering ministry,1,,,
2,15,,1,,,
2,16,,2,,,
2,17,,,,,
1,1,A blessing ,1,,,
1,1,Encourage,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,well prepared,1,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,2,,,
2,5,,,,,
2,6,,,,,
2,7,,,,,
2,8,,,,,
2,9,,,,,
2,10,widows,,,,
2,10,widowers,,,,
2,10,retirees,,,,
2,10,single parents,,,,
2,10,other,,,,
2,11,,,,,
2,12,,,,,
2,13,,,,,
2,14,christian education,,,,
2,14,health ministry,,,,
2,14,deaf ministry,,,,
2,14,evangilism,,,,
2,14,children ministry,,,,
2,14,choir ministry,,,,
2,14,ushering ministry,,,,
2,15,,,,,
2,16,,,,,
2,17,,,,,
1,1,A blessing ,1,69,female,womens guild
1,1,Encourage,1,,,
1,1,Educative,1,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,well prepared,1,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,1,,,
2,5,,1,,,
2,6,,1,,,
2,7,,1,,,
2,8,,2,,,
2,9,,2,,,
2,10,widows,1,,,
2,10,widowers,1,,,
2,10,retirees,1,,,
2,10,single parents,1,,,
2,10,other,1,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,christian education,1,,,
2,14,health ministry,1,,,
2,14,deaf ministry,1,,,
2,14,evangilism,1,,,
2,14,children ministry,1,,,
2,14,choir ministry,1,,,
2,14,ushering ministry,1,,,
2,15,,1,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing ,2,38,female,womens guild
1,1,Encourage,1,,,
1,1,Educative,2,,,
1,2,Relevant,1,,,
1,2,Not Useful,2,,,
1,2,well prepared,2,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,2,,,
2,5,,1,,,
2,6,,3,,,
2,7,,2,,,
2,8,,2,,,
2,9,,1,,,
2,10,widows,2,,,
2,10,widowers,2,,,
2,10,retirees,2,,,
2,10,single parents,3,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,2,,,
2,14,christian education,2,,,
2,14,health ministry,1,,,
2,14,deaf ministry,2,,,
2,14,evangilism,2,,,
2,14,children ministry,2,,,
2,14,choir ministry,1,,,
2,14,ushering ministry,1,,,
2,15,,1,,,
2,16,,2,,,
2,17,,,,,
1,1,A blessing ,1,51,female,
1,1,Encourage,1,,,
1,1,Educative,1,,,
1,2,Relevant,1,,,
1,2,Not Useful,2,,,
1,2,well prepared,2,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,1,,,
2,5,,1,,,
2,6,,1,,,
2,7,,1,,,
2,8,,1,,,
2,9,,1,,,
2,10,widows,1,,,
2,10,widowers,1,,,
2,10,retirees,1,,,
2,10,single parents,1,,,
2,10,other,1,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,christian education,1,,,
2,14,health ministry,1,,,
2,14,deaf ministry,1,,,
2,14,evangilism,1,,,
2,14,children ministry,1,,,
2,14,choir ministry,1,,,
2,14,ushering ministry,1,,,
2,15,,1,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing ,1,44,female,
1,1,Encourage,1,,,
1,1,Educative,2,,,
1,2,Relevant,1,,,
1,2,Not Useful,2,,,
1,2,well prepared,1,,,
1,2,boring,2,,,
1,3,good,2,,,
1,3,edifying,1,,,
1,4,,2,,,
2,5,,1,,,
2,6,,2,,,
2,7,,2,,,
2,8,,2,,,
2,9,,1,,,
2,10,widows,2,,,
2,10,widowers,2,,,
2,10,retirees,2,,,
2,10,single parents,2,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,2,,,
2,14,christian education,2,,,
2,14,health ministry,2,,,
2,14,deaf ministry,2,,,
2,14,evangilism,2,,,
2,14,children ministry,1,,,
2,14,choir ministry,2,,,
2,14,ushering ministry,2,,,
2,15,,2,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing ,1,,male ,p.c.m.f
1,1,Encourage,1,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,well prepared,1,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,2,,,
2,5,,1,,,
2,6,,2,,,
2,7,,2,,,
2,8,,2,,,
2,9,,1,,,
2,10,widows,2,,,
2,10,widowers,2,,,
2,10,retirees,2,,,
2,10,single parents,1,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,2,,,
2,13,,1,,,
2,14,christian education,1,,,
2,14,health ministry,1,,,
2,14,deaf ministry,1,,,
2,14,evangilism,1,,,
2,14,children ministry,1,,,
2,14,choir ministry,1,,,
2,14,ushering ministry,1,,,
2,15,,1,,,
2,16,,2,,,
2,17,,,,,
1,1,A blessing ,1,50,female,
1,1,Encourage,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,well prepared,1,,,
1,2,boring,2,,,
1,3,good,1,,,
1,3,edifying,2,,,
1,4,,1,,,
2,5,,1,,,
2,6,,1,,,
2,7,,1,,,
2,8,,2,,,
2,9,,1,,,
2,10,widows,1,,,
2,10,widowers,1,,,
2,10,retirees,1,,,
2,10,single parents,1,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,2,,,
2,13,,2,,,
2,14,christian education,1,,,
2,14,health ministry,1,,,
2,14,deaf ministry,1,,,
2,14,evangilism,1,,,
2,14,children ministry,1,,,
2,14,choir ministry,1,,,
2,14,ushering ministry,1,,,
2,15,,1,,,
2,16,,2,,,
2,17,,,,,
