category,question,sub-question,answer,gender,group,age
1,1,A blessing,2,female,,45
1,1,Encouraging,1,female,,45
1,1,Educative,2,female,,45
1,2,Relevant,1,female,,45
1,2,Not Useful,2,female,,45
1,2,Well Prepared,2,female,,45
1,2,Boring,2,female,,45
1,3,Good,1,female,,45
1,3,Edifying,2,female,,45
1,4,,2,female,,45
2,5,,1,female,,45
2,6,,2,female,,45
2,7,,2,female,,45
2,8,,2,female,,45
2,9,,1,female,,45
2,10,Widows,2,female,,45
2,10,Widowers,2,female,,45
2,10,Retirees,2,female,,45
2,10,Single Parents,2,female,,45
2,10,other,2,female,,45
2,11,,1,female,,45
2,12,,1,female,,45
2,13,,2,female,,45
2,14,Christian education,2,female,,45
2,14,Health Ministry,2,female,,45
2,14,Deaf Ministry,2,female,,45
2,14,Evangelism,2,female,,45
2,14,Children Ministry,1,female,,45
2,14,Choir Ministry,2,female,,45
2,14,Ushering Ministry,1,female,,45
2,15,,2,female,,45
2,16,,1,female,,45
2,17,,,female,,45
1,1,A blessing,1,female,youth,23
1,1,Encouraging,2,female,youth,23
1,1,Educative,2,female,youth,23
1,2,Relevant,2,female,youth,23
1,2,Not Useful,2,female,youth,23
1,2,Well Prepared,1,female,youth,23
1,2,Boring,2,female,youth,23
1,3,Good,1,female,youth,23
1,3,Edifying,2,female,youth,23
1,4,,2,female,youth,23
2,5,,1,female,youth,23
2,6,,2,female,youth,23
2,7,,2,female,youth,23
2,8,,,female,youth,23
2,9,,,female,youth,23
2,10,Widows,,female,youth,23
2,10,Widowers,,female,youth,23
2,10,Retirees,,female,youth,23
2,10,Single Parents,,female,youth,23
2,10,other,,female,youth,23
2,11,,,female,youth,23
2,12,,1,female,youth,23
2,13,,1,female,youth,23
2,14,Christian education,1,female,youth,23
2,14,Health Ministry,1,female,youth,23
2,14,Deaf Ministry,1,female,youth,23
2,14,Evangelism,1,female,youth,23
2,14,Children Ministry,1,female,youth,23
2,14,Choir Ministry,1,female,youth,23
2,14,Ushering Ministry,1,female,youth,23
2,15,,1,female,youth,23
2,16,,2,female,youth,23
2,17,,,female,youth,23
1,1,A blessing,1,female,youth,
1,1,Encouraging,2,female,youth,
1,1,Educative,2,female,youth,
1,2,Relevant,2,female,youth,
1,2,Not Useful,2,female,youth,
1,2,Well Prepared,1,female,youth,
1,2,Boring,2,female,youth,
1,3,Good,1,female,youth,
1,3,Edifying,2,female,youth,
1,4,,1,female,youth,
2,5,,1,female,youth,
2,6,,1,female,youth,
2,7,,1,female,youth,
2,8,,1,female,youth,
2,9,,1,female,youth,
2,10,Widows,1,female,youth,
2,10,Widowers,1,female,youth,
2,10,Retirees,1,female,youth,
2,10,Single Parents,1,female,youth,
2,10,other,1,female,youth,
2,11,,1,female,youth,
2,12,,1,female,youth,
2,13,,1,female,youth,
2,14,Christian education,1,female,youth,
2,14,Health Ministry,1,female,youth,
2,14,Deaf Ministry,1,female,youth,
2,14,Evangelism,1,female,youth,
2,14,Children Ministry,1,female,youth,
2,14,Choir Ministry,1,female,youth,
2,14,Ushering Ministry,1,female,youth,
2,15,,1,female,youth,
2,16,,1,female,youth,
2,17,,,female,youth,
1,1,A blessing,1,male,choir,68
1,1,Encouraging,2,male,choir,68
1,1,Educative,2,male,choir,68
1,2,Relevant,2,male,choir,68
1,2,Not Useful,2,male,choir,68
1,2,Well Prepared,1,male,choir,68
1,2,Boring,2,male,choir,68
1,3,Good,1,male,choir,68
1,3,Edifying,2,male,choir,68
1,4,,2,male,choir,68
2,5,,1,male,choir,68
2,6,,3,male,choir,68
2,7,,3,male,choir,68
2,8,,2,male,choir,68
2,9,,3,male,choir,68
2,10,Widows,3,male,choir,68
2,10,Widowers,2,male,choir,68
2,10,Retirees,2,male,choir,68
2,10,Single Parents,2,male,choir,68
2,10,other,2,male,choir,68
2,11,,1,male,choir,68
2,12,,1,male,choir,68
2,13,,3,male,choir,68
2,14,Christian education,1,male,choir,68
2,14,Health Ministry,1,male,choir,68
2,14,Deaf Ministry,1,male,choir,68
2,14,Evangelism,1,male,choir,68
2,14,Children Ministry,1,male,choir,68
2,14,Choir Ministry,1,male,choir,68
2,14,Ushering Ministry,1,male,choir,68
2,15,,2,male,choir,68
2,16,,1,male,choir,68
2,17,,,male,choir,68
