category,question,sub-question,answer,female,group,age
1,1,A blessing,1,female,women's guild,46
1,1,Encouraging,1,female,women's guild,46
1,1,Educative,2,female,women's guild,46
1,2,Relevant,2,female,women's guild,46
1,2,Not Useful,2,female,women's guild,46
1,2,Well Prepared,1,female,women's guild,46
1,2,Boring,2,female,women's guild,46
1,3,Good,1,female,women's guild,46
1,3,Edifying,1,female,women's guild,46
1,4,,1,female,women's guild,46
2,5,,2,female,women's guild,46
2,6,,2,female,women's guild,46
2,7,,1,female,women's guild,46
2,8,,2,female,women's guild,46
2,9,,1,female,women's guild,46
2,10,Widows,1,female,women's guild,46
2,10,Widowers,2,female,women's guild,46
2,10,Retirees,1,female,women's guild,46
2,10,Single Parents,2,female,women's guild,46
2,10,other,2,female,women's guild,46
2,11,,1,female,women's guild,46
2,12,,1,female,women's guild,46
2,13,,2,female,women's guild,46
2,14,Christian education,1,female,women's guild,46
2,14,Health Ministry,1,female,women's guild,46
2,14,Deaf Ministry,1,female,women's guild,46
2,14,Evangelism,1,female,women's guild,46
2,14,Children Ministry,1,female,women's guild,46
2,14,Choir Ministry,1,female,women's guild,46
2,14,Ushering Ministry,1,female,women's guild,46
2,15,,2,female,women's guild,46
2,16,,2,female,women's guild,46
2,17,,,female,women's guild,46
1,1,A blessing,1,male,49,PCMF
1,1,Encouraging,1,male,49,PCMF
1,1,Educative,1,male,49,PCMF
1,2,Relevant,1,male,49,PCMF
1,2,Not Useful,2,male,49,PCMF
1,2,Well Prepared,1,male,49,PCMF
1,2,Boring,2,male,49,PCMF
1,3,Good,1,male,49,PCMF
1,3,Edifying,1,male,49,PCMF
1,4,,2,male,49,PCMF
2,5,,1,male,49,PCMF
2,6,,1,male,49,PCMF
2,7,,1,male,49,PCMF
2,8,,1,male,49,PCMF
2,9,,1,male,49,PCMF
2,10,Widows,1,male,49,PCMF
2,10,Widowers,2,male,49,PCMF
2,10,Retirees,1,male,49,PCMF
2,10,Single Parents,2,male,49,PCMF
2,10,other,2,male,49,PCMF
2,11,,1,male,49,PCMF
2,12,,1,male,49,PCMF
2,13,,1,male,49,PCMF
2,14,Christian education,2,male,49,PCMF
2,14,Health Ministry,1,male,49,PCMF
2,14,Deaf Ministry,1,male,49,PCMF
2,14,Evangelism,2,male,49,PCMF
2,14,Children Ministry,1,male,49,PCMF
2,14,Choir Ministry,1,male,49,PCMF
2,14,Ushering Ministry,1,male,49,PCMF
2,15,,1,male,49,PCMF
2,16,,2,male,49,PCMF
2,17,,,male,49,PCMF
1,1,A blessing,2,female,women's guild,45
1,1,Encouraging,1,female,women's guild,45
1,1,Educative,2,female,women's guild,45
1,2,Relevant,1,female,women's guild,45
1,2,Not Useful,2,female,women's guild,45
1,2,Well Prepared,2,female,women's guild,45
1,2,Boring,2,female,women's guild,45
1,3,Good,1,female,women's guild,45
1,3,Edifying,2,female,women's guild,45
1,4,,2,female,women's guild,45
2,5,,1,female,women's guild,45
2,6,,2,female,women's guild,45
2,7,,2,female,women's guild,45
2,8,,1,female,women's guild,45
2,9,,1,female,women's guild,45
2,10,Widows,1,female,women's guild,45
2,10,Widowers,1,female,women's guild,45
2,10,Retirees,1,female,women's guild,45
2,10,Single Parents,1,female,women's guild,45
2,10,other,1,female,women's guild,45
2,11,,1,female,women's guild,45
2,12,,1,female,women's guild,45
2,13,,2,female,women's guild,45
2,14,Christian education,1,female,women's guild,45
2,14,Health Ministry,1,female,women's guild,45
2,14,Deaf Ministry,1,female,women's guild,45
2,14,Evangelism,2,female,women's guild,45
2,14,Children Ministry,1,female,women's guild,45
2,14,Choir Ministry,1,female,women's guild,45
2,14,Ushering Ministry,1,female,women's guild,45
2,15,,1,female,women's guild,45
2,16,,1,female,women's guild,45
2,17,,,female,women's guild,45
1,1,A blessing,1,,,
1,1,Encouraging,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,Well Prepared,2,,,
1,2,Boring,2,,,
1,3,Good,2,,,
1,3,Edifying,2,,,
1,4,,1,,,
2,5,,2,,,
2,6,,2,,,
2,7,,3,,,
2,8,,2,,,
2,9,,2,,,
2,10,Widows,2,,,
2,10,Widowers,2,,,
2,10,Retirees,2,,,
2,10,Single Parents,2,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,2,,,
2,14,Christian education,2,,,
2,14,Health Ministry,2,,,
2,14,Deaf Ministry,2,,,
2,14,Evangelism,2,,,
2,14,Children Ministry,1,,,
2,14,Choir Ministry,2,,,
2,14,Ushering Ministry,2,,,
2,15,,2,,,
2,16,,2,,,
2,17,,,,,
1,1,A blessing,1,,,
1,1,Encouraging,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,Well Prepared,1,,,
1,2,Boring,2,,,
1,3,Good,1,,,
1,3,Edifying,2,,,
1,4,,1,,,
2,5,,1,,,
2,6,,2,,,
2,7,,1,,,
2,8,,2,,,
2,9,,1,,,
2,10,Widows,1,,,
2,10,Widowers,1,,,
2,10,Retirees,1,,,
2,10,Single Parents,1,,,
2,10,other,1,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,Christian education,1,,,
2,14,Health Ministry,1,,,
2,14,Deaf Ministry,1,,,
2,14,Evangelism,1,,,
2,14,Children Ministry,1,,,
2,14,Choir Ministry,1,,,
2,14,Ushering Ministry,1,,,
2,15,,1,,,
2,16,,1,,,
2,17,,,,,
1,1,A blessing,1,,,
1,1,Encouraging,2,,,
1,1,Educative,2,,,
1,2,Relevant,2,,,
1,2,Not Useful,2,,,
1,2,Well Prepared,1,,,
1,2,Boring,2,,,
1,3,Good,1,,,
1,3,Edifying,2,,,
1,4,,3,,,
2,5,,1,,,
2,6,,3,,,
2,7,,1,,,
2,8,,1,,,
2,9,,1,,,
2,10,Widows,1,,,
2,10,Widowers,1,,,
2,10,Retirees,1,,,
2,10,Single Parents,3,,,
2,10,other,2,,,
2,11,,1,,,
2,12,,1,,,
2,13,,1,,,
2,14,Christian education,1,,,
2,14,Health Ministry,1,,,
2,14,Deaf Ministry,1,,,
2,14,Evangelism,2,,,
2,14,Children Ministry,1,,,
2,14,Choir Ministry,3,,,
2,14,Ushering Ministry,3,,,
2,15,,3,,,
2,16,,1,,,
2,17,,1,,,
1,1,A blessing,1,,40,
