category,question,sub-question,answer,age,gender,group
1,1,A blessing,1,41,female,
1,1,Encouraging,1,41,female,
1,1,Educative,1,41,female,
1,2,Relevant,1,41,female,
1,2,Not Useful,2,41,female,
1,2,Well Prepared,1,41,female,
1,2,Boring,2,41,female,
1,3,Good,1,41,female,
1,3,Edifying,2,41,female,
1,4,,2,41,female,
2,5,,1,41,female,
2,6,,2,41,female,
2,7,,2,41,female,
2,8,,2,41,female,
2,9,,1,41,female,
2,10,Widows,2,41,female,
2,10,Widowers,2,41,female,
2,10,Retirees,2,41,female,
2,10,Single Parents,2,41,female,
2,10,other,2,41,female,
2,11,,1,41,female,
2,12,,2,41,female,
2,13,,1,41,female,
2,14,Christian education,1,41,female,
2,14,Health Ministry,2,41,female,
2,14,Deaf Ministry,2,41,female,
2,14,Evangelism,1,41,female,
2,14,Children Ministry,2,41,female,
2,14,Choir Ministry,2,41,female,
2,14,Ushering Ministry,2,41,female,
2,15,,2,41,female,
2,16,,2,41,female,
2,17,,,41,female,
1,1,A blessing,1,50,female,womens' guild
1,1,Encouraging,2,50,female,womens' guild
1,1,Educative,2,50,female,womens' guild
1,2,Relevant,1,50,female,womens' guild
1,2,Not Useful,2,50,female,womens' guild
1,2,Well Prepared,2,50,female,womens' guild
1,2,Boring,2,50,female,womens' guild
1,3,Good,1,50,female,womens' guild
1,3,Edifying,2,50,female,womens' guild
1,4,,2,50,female,womens' guild
2,5,,1,50,female,womens' guild
2,6,,2,50,female,womens' guild
2,7,,2,50,female,womens' guild
2,8,,2,50,female,womens' guild
2,9,,2,50,female,womens' guild
2,10,Widows,2,50,female,womens' guild
2,10,Widowers,2,50,female,womens' guild
2,10,Retirees,2,50,female,womens' guild
2,10,Single Parents,2,50,female,womens' guild
2,10,other,2,50,female,womens' guild
2,11,,2,50,female,womens' guild
2,12,,2,50,female,womens' guild
2,13,,3,50,female,womens' guild
2,14,Christian education,2,50,female,womens' guild
2,14,Health Ministry,3,50,female,womens' guild
2,14,Deaf Ministry,1,50,female,womens' guild
2,14,Evangelism,3,50,female,womens' guild
2,14,Children Ministry,2,50,female,womens' guild
2,14,Choir Ministry,2,50,female,womens' guild
2,14,Ushering Ministry,2,50,female,womens' guild
2,15,,2,50,female,womens' guild
2,16,,1,50,female,womens' guild
2,17,,,50,female,womens' guild
1,1,A blessing,1,,,
1,1,Encouraging,1,46,female,christian education
1,1,Educative,2,46,female,christian education
1,2,Relevant,1,46,female,christian education
1,2,Not Useful,3,46,female,christian education
1,2,Well Prepared,1,46,female,christian education
1,2,Boring,3,46,female,christian education
1,3,Good,1,46,female,christian education
1,3,Edifying,1,46,female,christian education
1,4,,1,46,female,christian education
2,5,,1,46,female,christian education
2,6,,2,46,female,christian education
2,7,,2,46,female,christian education
2,8,,1,46,female,christian education
2,9,,1,46,female,christian education
2,10,Widows,2,46,female,christian education
2,10,Widowers,3,46,female,christian education
2,10,Retirees,3,46,female,christian education
2,10,Single Parents,2,46,female,christian education
2,10,other,2,46,female,christian education
2,11,,1,46,female,christian education
2,12,,1,46,female,christian education
2,13,,2,46,female,christian education
2,14,Christian education,1,46,female,christian education
2,14,Health Ministry,2,46,female,christian education
2,14,Deaf Ministry,1,46,female,christian education
2,14,Evangelism,2,46,female,christian education
2,14,Children Ministry,1,46,female,christian education
2,14,Choir Ministry,1,46,female,christian education
2,14,Ushering Ministry,1,46,female,christian education
2,15,,1,46,female,christian education
2,16,,2,46,female,christian education
2,17,,,46,female,christian education
1,1,A blessing,1,49,female,womens' guild
1,1,Encouraging,1,49,female,womens' guild
